ID,Company,Approval Memo,Type of Company ,Incubaton Track,Industry,Country of Origin,Funding Stage,Funding Since Joining QSTP,Sources of Funding,Status,Program Join Date,Graduation Date,Place of Incorporation,Registration Status,Date of Incorporation,Lease / Incubation Agreement,Agreement Signing Date,Agreement Start Date, Agreement Expiry Date,QSTP License Status,License Release Date,License Expiry Date,Location,Leased Space, Total Employees, Qatari Employees, Male Employees, Female Employees,"Researchers, Scientists, Engineers (RSE)", Qatari RSE, Male RSE, Female RSE,  Investment (2024) , Revenue (2024),"a
", Additional Information,Remarks,Founder / Licensee Manager,Email,Report Date,Approval Memo Status2,Registration Status CR,Registration (MOCI/QFC),CR Status,Lease / Incubation Agreement Status,Agreement Start Date2,Agreement Expiry Date, License,Remarks/ Registration,Registration Satus ,Step 1 (doc & Info recive ),Step 2,Step 3 (CR) ,Step 4
109,Qkons Solution,24-Jul-24,Startup,Full Incubation,ClimateTech,Qatar,Pre-Seed,,,Active,,,MOCI,Completed,08-Sep-24,Completed,,,14-Dec-2025,Completed,24-Feb-25,19-Feb-26,Tech 2 Unit 210-20,NA,3,1,2,1,3,,,,,,"QKONS is a platform that promotes eco-responsibility through its comprehensive mobile app. The app encourages eco-friendly practices across waste management, water and electricity consumption, and sustainable transportation. By integrating user-friendly features with motivational incentives, QKONS simplifies sustainable living, making it accessible and rewarding for everyone.

",,,Sarah Namany,sanamany@hbku.edu.qa,,Completed,Completed,MOCI,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
110,QNAR,09-Jul-24,Startup,Full Incubation,EdTech,Qatar,Pre-Seed,,,Active,,,QFC,Completed,02-Sep-24,Completed,30-Nov-25,,28-Feb-2026,Completed,02-Sep-24,31-Dec-24,Tech 2 Unit 210-2,NA,7,1,0,2,0,,,,,,,,,Samah Abdul Kareem Qasim Qasim,Samah@qnarweb.com,,Completed,Completed,QFC,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
111,RapidDx BioTech,11-Jun-25,Startup,Full Incubation,HealthTech,Qatar,Seed,,,Active,,,QFC,Completed,,Completed,19-Nov-25,,19-Feb-2026,In Progress,,,Tech 2 Unit 210-48,NA,7,0,2,1,2,,,,,,"Rapid Dx Biotech is a Qatar-based startup pioneering rapid diagnostic technologies to meet
urgent public health needs. Our flagship product, NorTest, is a fluorescent lateral flow
immunoassay for Norovirus, using europium nanoparticles and a portable CUBE reader to
deliver lab-grade sensitivity at the point of care. Unlike bulky competitor systems, NorTest is
a compact, cost-effective solution for both clinical and field use.",,,Nadin Nagy Younes,nadinyns@hotmail.com,,Completed,Completed,QFC,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
112,Reezk (RFx Ai) ,11-Jun-25,Startup,Full Incubation,Enterprise SaaS,Qatar,Seed,,,Active,,,QFC,Completed,,Completed,12-Aug-25,,10-Nov-2025,In Progress,,,Tech 2 Unit 210-49,NA,8,0,1,0,3,,,,,,"Eliminates inefficiencies in B2B procurement by automating tender proposal preparation. Ensures compliance, reduces response times by 80%, and increases the likelihood of contract awards by up to fivefold.​",,,Houssam Eddine Kassah Laouar,ceo@rfxai.com,,Completed,Completed,QFC,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
113,Sakina,09-Jul-24,Startup,Full Incubation,HealthTech,Qatar,Pre-Seed,,,Active,,,QFC,Completed,20-Aug-24,Completed,,,13-Jan-2026,Completed,01-Oct-24,31-Dec-24,Tech 2 Unit 210-3,NA,7,0,0,1,4,,,,,,,,,Leena Babiker Idris Babiker,dr.leenababiker95@gmail.com,,Completed,Completed,QFC,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
114,Savest,14-Aug-20,Startup,Full Incubation,HealthTech,Qatar,Seed,,,Active,,,QSTP,Completed,14-Aug-20,Completed,20-Nov-25,,20-Feb-2026,Completed,15-Aug-25,14-Nov-25,Tech 2 Unit 210-72,NA,5,0,1,0,2,,,," 1,500 ","35,000","SaVest develops innovative safety and sustainability solutions that merge advanced materials, smart design, and future-ready technology. Its flagship product, Cold Touch Pro, is a next-generation protective mask engineered for comfort, durability, and high performance in extreme conditions. SaVest focuses on creating practical, human-centered innovations that enhance safety for delivery riders, industrial workers, and urban communities while aligning with global sustainability goals.​",,Registered Under QSTP,Mohammed Fayez Mohammed Elaiyn, mfayezubc@yahoo.com,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
115,Seeds Technologies,09-Jul-24,Startup,Full Incubation,HRTech,Qatar,Pre-Seed,,,Active,,,MOCI,Completed,,Completed,,,3-Oct-2025,In Progress,,,Tech 2 Unit 210-23,NA,8,0,0,1,0,,,,,,,,,Malath Wael Sadiq Mahmoud Anayeh,Malath.anaya@gmail.com,,Completed,Completed,MOCI,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
116,Skystruct,01-Mar-20,Startup,Full Incubation,PropTech,Qatar,Seed,"1,000,000","QDB, Ooredoo, Dar Ventures, Tech Venture Fund",Active,,,QSTP,Completed,01-Mar-20,Completed,,,28-Feb-2026,Completed,29-Feb-24,28-Feb-26,Tech 2 Unit 210-75,NA,20,1,1,0,2,,,," 300,000 ","40,000","SkyStruct is a leading ConTech transforming the construction industry with a simple, cloud-based AI-powered project management platform. Our solution addresses the $1.8 Trillion issue of budget and deadline overruns due to poor data management and communication by integrating all essential workflows into a centralized system.",,Registered Under QSTP,Abdulaziz Ahmed A T Al-Subaiey,jaleel@skystruct.com,,Completed,Completed (QSTP),QSTP,Completed,Completed,Lease agreement ,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
117,Sports Vector Technolgy (SportStrat),11-Jun-25,Startup,Full Incubation,SportsTech,Pakistan,Seed,,,Active,,,QFC,Completed,,Completed,30-Nov-25,,28-Feb-2026,In Progress,,,Tech 2 Unit 210-50,NA,3,0,2,0,2,,,,,,"Sports Vector is a Qatar-based sports tech startup pioneering AI-native full stack sports strategy platforms aimed at making professional sports strategy accessible to teams at all levels. Our flagship product, Crictier, is an end-to-end solution that helps cricket teams plan for matches, analyze performances, and simulate thousands of game permutations to design optimal strategies. The platform integrates AI assistants, predictive machine learning, computer vision, and performance reporting. We are focused on delivering real-time, scalable, and cost-effective strategy development and execution. ​",,,Muhammad Saad Muhammad Amin,saad32170@gmail.com,,Completed,Completed,MOCI,Completed,Completed,30-Nov-25,28-Feb-26,Completed,Completed,Completed,Completed,Completed,Completed,Completed
118,Subol Innovation,17-Sep-17,Startup,Full Incubation,ClimateTech,Qatar,Seed,,,Active,,,QSTP,Completed,17-Sep-17,Completed,10-Aug-25,,30-Sep-2025,Completed,01-Oct-24,30-Sep-25,Tech 2 Unit 210-71,NA,3,1,1,0,0,,,,,,"An IoT startup that provides innovative solutions for home safety, pivoting from gas detection to a comprehensive range of indoor air quality monitoring. Our cutting-edge technologies ensure safe, healthy, and comfortable indoor environments. You can trust us for reliable, forward-thinking air quality and safety solutions tailored to your needs.",,Registered Under QSTP,Saleh Saeed M A Safran,saleh@subol.qa ,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
119,Sustainable Carbon,17-Oct-24,Startup,Full Incubation,ClimateTech,Italy,Pending ,,,Active,,,MOCI,Completed,23-Feb-25,Completed,Pending,,Pending,Completed,19-Mar-25,23-Feb-26,Tech 2 Unit 210-28,NA,1,0,1,0,,,,,,,,,,Stefano Merlin,smerlin@sustainablecarbon.com,,Completed,Completed,MOCI,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
120,Tabibna Technologies,06-Jul-25,Startup,Full Incubation,HealthTech,Egypt,Seed,,,Active,,,MOCI,Completed,,Completed,15-Dec-25,,15-Mar-2026,Completed,,,Tech 2 Unit 210-54,NA,8,0,2,0,3,,,,,,"AI-powered digital health platform designed to streamline patient-provider through automated medical history-taking , AI based triage, and personalized health tracking",,,Ahmed Essam,a7med.essam507@gmail.com,,Completed,Completed,MOCI,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
121,Updive,11-Jun-25,Startup,Full Incubation,Cybersecurity,Uzbekistan,Seed,,,Active,,,QFC,Completed,,Completed,11-Sep-25,,7-Dec-2025,In Progress,,,Tech 2 Unit 210-52,NA,4,0,2,0,2,,,,,,"Updive's Complex Cybersecurity Solution (CCS) leverages a multi-layered approach with advanced technologies, including WAF, IDS/IPS, EDR, XDR, IAM, SIEM, SOAR, SGRC, Anti-DDOS, Sandbox, PAM, DLP, VPN, Antivirus, Anti-Spam, and Anti-Phishing. This comprehensive solution ensures robust protection against diverse cyber threats, enhancing detection, prevention, and incident response across all layers of an organization’s network.​",,,Otabek Rustamovich Aliev,o.aliyevuz@gmail.com,,Completed,Completed,QFC,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
122,Wady,11-Jun-25,Startup,Full Incubation,LogisticsTech,Qatar,Pending ,,,Active,,,QFC,Completed,,Completed,11-Sep-25,,10-Nov-2025,In Progress,,,Tech 2 Unit 210-53,NA,2,0,2,0,,,,,,,,,,Asad Msouhli,ztatapp@gmail.com,,Completed,Completed,QFC,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
123,Werover,06-Jul-25,Startup,Full Incubation,EnergyTech,Turkey,Seed,0,Alchemist Doha,Active,,,QFC,Completed,,Completed,25-Sep-25,,25-Dec-2025,In Progress,,,Tech 2 Unit 210-65,NA,13,0,0,1,0,,,,,0,AI-powered wind turbine blade health monitoring through acoustic analysis and machine learning. ,,,Zeynep Balca Yilmaz,balca.yilmaz@werover.com,,Completed,Completed,QFC,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
124,Wqtah,25-Apr-22,Startup,Full Incubation,TravelTech,Qatar,Seed,,,Active,,,QSTP,Completed,25-Apr-22,Completed,,,10-Nov-2025,Completed,26-Apr-24,25-Apr-25,Tech 2 Unit 210-70,NA,2,1,1,0,0,,,,,,"Wqtah is Qatar’s first platform dedicated to enthusiasts of luxury private getaways, entertainment, adventures, accommodations, and sports. It facilitates the booking process for unique experiences, ensuring minimal effort and maximum efficiency.",,Registered Under QSTP,Mohammed Khamis M KH Al-Sulaiti,mbk@wqtah.com,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
125,Xaidi Digital Health,06-Jul-25,Startup,Full Incubation,Healthtech,Switzerland,Series A,,,Active,,,QFC,In Progress,,,Pending,,Pending,,,,Tech 2 Unit 210-64,NA,5,0,0,0,2,,,,,,"AI-powered solution to help neurodivergent patients manage their condition through ""empathic AI"", behavioral reminders for medications and exercises, and online therapy with licensed psychotherapists",,,Martin Dober,martin.dober@empathicAI.life,,Completed,Completed,QFC,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
126,IQ-Tech (Yuniro),06-Jul-25,Startup,Full Incubation,HealthTech,Italy,Seed,,,Active,,,QFC,Completed,,Completed,04-Dec-25,,4-Mar-2026,In Progress,,,Tech 2 Unit 210-81,NA,20,0,2,0,12,,,,,,"VR training simulations that prepare medical teams and first responders for real emergencies. Allows trainees to practice life-saving procedures in realistic virtual environements. Improving readiness, confidencem and performance under pressure.",,,Nassim Davide Sidaoui,n.sidaoui@yuniro.com,,Completed,Completed,QFC,Completed,Completed,05/05/2026,05/04/2027,Completed,Completed,Completed,Completed,Completed,Completed,Completed
127,Optimize AI Technologies,19-Jun-25,Startup,Full Incubation,HealthTech,Qatar,Seed,,,Active,,,MOCI,Completed,,Completed,19-Nov-25,,19-Feb-2026,In Progress,,,Tech 2 Unit 210-46,NA,2,0,1,0,0,,,,,,"Medical coding and the validation of diagnoses are performed through manual processes. This is error prone, expensive and time consuming​",,,Semeh Mehmet, sameh.abdultawab@gmail.com,,Completed,Completed,MOCI,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
128,AiTrials,02-Sep-25,Startup,Full Incubation,SportsTech,India,Seed,,,Active,,,MOCI,Completed,,In Progress,Pending,,Pending,,,,Pending,NA,3,0,2,0,1,,,,,,AI-driven clinical trial matching platform aimed at improving recruitment efficiency and patient accessibility.,,,Mohamed Asif,asif@thejuego.com,,Completed,Completed,QFC,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
129,Artist3 Labs Gamic,02-Sep-25,Startup,Full Incubation,FinTech,Nigeria,NA,,,Withdrawn,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,1,0,1,0,,,,,,,,,,Ukemeoboong Okuku,Ukeme@artist3.io,,Completed,Withdrawn,Withdrawn,Withdrawn,Withdrawn,,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn
130,As-salamu alaykum,02-Sep-25,Startup,Full Incubation,TelecomTech,Pakistan,Pre-Seed,,,Onboarding,,,MOCI,In Progress,,,Pending,,Pending,,,,Pending,NA,,,,,,,,,,,"A telecom-focused venture aiming to enhance customer experience and service delivery in Tajikistan by leveraging the founder’s extensive industry expertise. The company targets gaps in quality, accessibility, and efficiency within the local telecommunications sector.",,,"Abduhalim	Khalikov",abduhalim.khalikov@gmail.com,,Completed,Pre CR,MOCI,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,Busy with the projects and unable to continue the registration for now.,In Progress,Client to submit the info & Doc,,Client To Submit The Info & Doc,
131,"AlgaQ (AlgaQ Scientific and Environmental
Technologies Trading)",02-Sep-25,Startup,Full Incubation,ClimateTech,Qatar,Pending ,0,Self-funded,Active,,,MOCI,Completed,,Completed,,,14-Dec-2025,In Progress,,,Tech 2 Unit 210-82,NA,8,3,0,3,6,,,,,,"AlgaQ is a climate-tech startup that develops microalgae-based systems to capture CO₂ and convert it into sustainable biomass. Their solutions combine carbon capture, education, and research to support a more environmentally sustainable future.",,,Hissa Al Thani ,hessaalthaniqa@gmail.com,,Completed,Completed,MOCI,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed
132,AQASight,02-Sep-25,Startup,Full Incubation,ClimateTech,Qatar,Pending ,,,Active,,,MOCI,In Progress,,,Pending,,Pending,,,,Tech 2 Unit 210-84,NA,3,0,1,0,2,,,,,,"A precision water intelligence solution that uses AI-enhanced sensing and real-time analytics to monitor microbial and chemical risks in urban water networks. Its platform integrates flow cytometry, UV-VIS, and chlorine kinetics with SCADA and AR interfaces, offering predictive insights and operational optimization for utilities.   ",,,Peter Desmond,pdesmond@hbku.edu.qa,,Completed,Completed,MOCI,Completed,Completed,17-Feb-26,15-Feb-27,Completed,Incubation Agreement ,Completed,Completed,Completed,Completed,Completed
133,Arabian Gulf  technology ( Organics ),02-Sep-25,Startup,Full Incubation,HealthTech,Qatar,Pending ,,,Active,,,MOCI,In Progress,,,26-feb-2026,,25-feb-2027,,,,Tech2 Unit 210-91,NA,1,1,1,0,0,,,,,,"A biotech startup aiming to develop and manufacture high-quality Spirulina and algae-derived products using innovative cultivation and processing methods. Founded by Eng. Khalid Naji, the venture leverages local strains of algae and sustainable inputs to target the growing global health and wellness market.  ",,,Khalid Naji,khalidnaji133@gmail.com,,Completed,Completed,MOCI,Completed,Completed,26-Feb-26,25-Feb-27,Completed,Completed,Completed,Completed,Completed,Completed,Completed
134,BSporty,08-Oct-25,Startup,Full Incubation,SportsTech,Qatar,Pending ,,,Active,,,,,,,Pending,,Pending,,,,Pending,NA,20,3,3,0,6,,,,,,,,,Sheikh Sheim Al Thani,info@bsporty.qa,,Completed,Completed,MOCI,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
135,Buzzgage,02-Sep-25,Startup,Full Incubation,EdTech,Turkey,Pending ,,,Onboarding,,,MOCI,Completed,,In Progress,Pending,,Pending,,,,Pending,NA,3,0,1,2,,,,,,,"AI-powered platform helping schools measure student social-emotional 
development and identify learning barriers through data analytics.
30,000+ students, 60+ schools, $250K angel funding raised.
Not incorporated (international based in turkey), 
only one founder relocating to Qatar, small team size of 3",,,Mohammed Chehab,mc@buzzgage.org,,Completed,Completed,QFC,Completed,In Progress,,,Completed,incubation agreement ,Completed,Completed,Completed,Completed,Completed
136,Easyvam (ClickOrder) ,02-Sep-25,Startup,Full Incubation,Enterprise SaaS,Qatar,Pending ,,,Active,,,QFC,Completed,,Completed,19-Nov-25,,19-Feb-26,,,,Pending,NA,3,,,,,,,,,,"Clickorder is a Qatar- and KSA-based SaaS platform digitizing hospitality and service ordering through mobile apps, QR codes, and an admin portal. Targeting offices, hotels, beaches, cinemas, and other service venues, it offers a subscription-based model with strong regional traction and a culturally aligned market fit ",,,Hamid Menouar,hamid@clickorder.io,,Completed,Completed,QFC,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
137,CYA Live (Skylora),08-Oct-25,Startup,Full Incubation,MediaTech,Canada,Pending ,,,Onboarding,,,QFC,In Progress,,,Pending,,Pending,,,,Pending,NA,1,0,1,0,,,,,,,"Cya Live turns content into a shared, interactive experience. People can watch, shop, and engage with friends, influencers, and brands in real time through video, chat, and apps.​",,,Sami Siddique,sami@cya.live,,Completed,Completed,QFC,Completed,In Progress,,,Completed,Completed,Completed,Completed,Completed,Completed,
138,Dataoorts,02-Sep-25,Startup,Full Incubation,AI/ML/Data,India,Pending ,,,Onboarding,,,Pending,In Progress,,,Pending,,Pending,,,,Pending,NA,1,0,1,0,,,,,,,"GPU cloud platform democratizing AI compute access in Middle East
through proprietary DDRA (Dataoorts Dynamic Resource Allocation) technology. 
",,,Rajat Vishwakarma,rajat@dataoorts.com,,Completed,Pre CR,MOCI,No response ,No response,,,No response ,"Case was on hold (Sep 28 – Nov 24). No respon5e since Dec 21, 2025",No response,,,,
139,Digistate,02-Sep-25,Startup,Full Incubation,FinTech,Qatar,Pending ,,,Active,,,MOCI,In Progress,,,Pending,,Pending,,,,Tech2 Unit 210-221,NA,6,0,1,0,2,,,,,,"Digisate is an app that allows for the purchase of a fraction of real-estate for as little as $100 using blockchain-based fractional ownership tech (a micro–Real Estate Investment Trust) . They have initiated talks with real estate developers and MVP platform architecture is completed. However, they still have to work with legal experts and regulators to create a compliant investment. framework",,,Yasser Al Attar,yassir.atar@gmail.com,,Completed,Completed,MOCI,Completed,Completed,21-Apr-26,20-Apr-27,Completed,Completed,Completed,,,,
140,EasyMunch,02-Sep-25,Startup,Full Incubation,AI/ML/Data,Qatar,Pending ,,,Withdrawn,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,1,1,0,,,,,,,,,,"Mohammed	Al-Naimi",1othmanalabed1@gmail.com,,Completed,Withdrawn,Withdrawn,Withdrawn,Withdrawn,,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn
141,Ebanah,02-Sep-25,Startup,Full Incubation,EdTech,Oman,Pending ,,,Active,,,MOCI,In Progress,,,Pending,,Pending,,,,Tech2 Unit 210-217,NA,6,0,1,0,1,,,,,,An AI chatbot for company ERP & CRM systems that is adapted to natural language in English and Arabic with more languages and dialects to be added. They also have a platform that can also be used for education as  an Automatic Arabic text diacritization service with 95% accuracy. The education platform “AlKhalil” already has more than 2M visitors and around 80 learners currently with 45 published articles and partnerships with Omani entities,,,"Salim	Al Mandhari",salim.almandhari@ebanah.com,,Completed,Completed,MOCI,Completed,Completed,06-Apr-27,05-Apr-27,Completed,Completed,Completed,Completed,Completed,Completed,Completed
142,EcoVerse,02-Sep-25,Startup,Full Incubation,ClimateTech,Qatar,Pending ,,,Withdrawn,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,1,0,1,0,,,,,,,,,,"Husham	Abdalla",hesham.eina@gmail.com,,Completed,Withdrawn,Withdrawn,Withdrawn,Withdrawn,,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn
143,EdTeck,02-Sep-25,Startup,Full Incubation,EdTech,Pakistan,Pending ,,,Onboarding,,,QFC,In Progress,,,Pending,,Pending,,,,Pending,NA,1,0,2,1,1,,,,,,"An AI-powered Intelligent Tutoring System for K–12 that adapts content, pacing, and strategies in real time, offering deeper personalization than traditional LMS tools. Version 1 served 1,000+ students; Version 2 (full ITS framework) is in MVP stage. Founded by an education-tech expert with 15+ years’ experience, the team—committed to relocating to Qatar—plans local expansion.


",,,"Muhammad Naweed	Ahmed",muhammad.ahmed.dba@gmail.com,,Completed,Completed,QFC,Completed,In Progress,,,Completed,".Waiting stamp to proceed with Computer Card, then the CR will be issued.
",Completed,Completed,Completed,Completed,Completed
144,EffectualL,02-Sep-25,Startup,Full Incubation,EdTech,Qatar,Pending ,,,Active,,,QFC,Completed,,In Progress,Pending,,Pending,,,,Tech2 Unit 210-98,NA,5,0,3,2,1,,,,,,"Effectual Learning is a Qatar-based EdTech startup transforming STEM education through interactive 3D modules, gamification, and personalized learning experiences. With beta testing underway in five schools and over 50 simulations developed, it targets the global STEM learning market via a subscription-based mode",,,Eddekepavan Puthanveetil Sajitha,sajim@effectuall.com,,Completed,Completed,QFC,Completed,In Progress,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
145,eHaris (eHaris International LLC),02-Sep-25,Startup,Full Incubation,Cybersecurity,Qatar,Pending ,,,Onboarding,,,,,,,Pending,,Pending,,,,Tech 2 Unit 210-86,NA,4,,,,0,,,,,,An app that acts as an identification tool for physical spaces as a security measure to avoid unwanted persons.   ,,,Binod Chandran,binodc@gmail.com,,Completed,Completed,QFC,Completed,In Progress,,,Completed,New CR Extract request is still pending from QFC need to pay $5000 (self registration ),Completed,Completed,Completed,Completed,Completed
146,Ehmini,02-Sep-25,Startup,Full Incubation,FinTech,Qatar,Pending ,,,Active,,,QFC,Completed,,Completed,06-Nov-25,,8-Jan-2026,In Progress,,,Tech 2 Unit 210-85,NA,3,1,2,0,0,,,,,,"A Qatar-based fintech platform embedding Takaful insurance into remittance transactions, giving expats access to insurance, retirement, and savings plans online. Founded by financial expert Meher Khelifi, the startup addresses a major gap—most Tunisian workers in Qatar lack insurance coverage or retirement plans. The platform initially targets 26K Tunisian expats in Qatar, with plans to expand to 132K across the GCC and eventually 13.4M foreign workers globally. Operating on a commission-based model, Ehmini aims to onboard 50K+ users within three years. Incorporated under QFC with an MVP validated in Tunisia, the startup seeks $400K from QSTP to drive GCC expansion, ensure regulatory compliance, and advance AI-driven risk assessment. While the company is already incorporated under the Qatar Financial Centre (QFC). Ehmini’s needs is primarily funding related.",,,Meher Khelifi,meher.khelifi@ahmini.com,,Completed,Completed,QFC,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
147,Ellogy.ai ( El Technology ),02-Sep-25,Startup,Full Incubation,Enterprise SaaS,Qatar,Seed,,,Onboarding,,,QFC,In Progress,,,Pending,,Pending,,,,Pending,NA,,,,,,,,,,,"Ellogy is a Qatar-based startup that uses AI to automate the creation of software documentation, aiming to reduce project failure rates caused by poor requirements and inconsistent documentation. Their platform leverages large language models (LLMs) to generate technical artifacts such as user stories, UML diagrams, test cases, and UI wireframes. While the solution addresses a real market need and demonstrates technical competence, it primarily builds on existing AI technologies without introducing proprietary innovation or validated market traction. ",,,"El Moustapha	Izidbih",elmoustapha@ellogy.ai,,Completed,Pre CR,,Do not want to establish a company under QFC/MOCI,Do not want to establish a company under QFC/MOCI,,,Do not want to establish a company under QFC/MOCI,Waiting for the client to share the expected 1st year income and to share the NAS credentials - Last update with the client on 11 May 2026,Do not want to establish a company under QFC/MOCI,,,,
148,EpiNova,02-Sep-25,Startup,Full Incubation,HealthTech,Saudi Arabia,Pre-Seed,,,Onboarding,,,MOCI,In Progress,,,Pending,,Pending,,,,Pending,NA,0,0,2,0,2,,,,,,"EpiNova is an AI-driven epigenetic platform designed to detect early-stage breast cancer by analyzing DNA methylation patterns, specifically tailored for the GCC population. Based in KSA",,,Khaled Bamutraf,khaledbamtrif@gmail.com,,Completed,Pre CR,No response ,No response ,No response,,,No response ,"No response since Jan 18, 2026. ",No response,,,,
149,Escape Ventures,02-Sep-25,Startup,Full Incubation,Consulting & Advisory,Qatar,Pending ,,,Withdrawn,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,0,1,0,,,,,,,,,,"Ahmed	Mohamedali",ama@escventures.com,,Completed,Withdrawn,Withdrawn,Withdrawn,Withdrawn,,,Withdrawn,No response ,Withdrawn,,,,
150,Famasi,02-Sep-25,Startup,Full Incubation,HealthTech,Nigeria,Pending ,,,Withdrawn,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,2,,,,0,,,,,,,,,,founders@famasi.africa,,Completed,Withdrawn,Withdrawn,Withdrawn,Withdrawn,,,Withdrawn,No response ,Withdrawn,,,,
151,Finspire,02-Sep-25,Startup,Full Incubation,FinTech,Qatar,Pre-Seed,,,Active,,,MOCI,Completed,,Completed,14-Oct-25,,5-Jan-2026,In Progress,,,Tech 2 Unit 210-97,NA,1,0,0,1,2,,,,,,"Finspire is an AI-powered personal finance app designed to promote financial literacy and inclusion in Qatar, particularly for the underbanked and communities such as the Palestinian diaspora. It combines budgeting, savings, and educational tools, with an early-stage self-built prototype and a clear social impact mission",,,Almaz Binti Ruslan,almaz@finspireapp.com,,Completed,Completed,MOCI,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
152,FreePixel,02-Sep-25,Startup,Full Incubation,AI/ML/Data,India,Pending ,,,Withdrawn,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,1,0,1,0,,,,,,,,,,"Abdul	Qaiyoom",abdul.qavi@freepixel.com,,Completed,Withdrawn,Withdrawn,Withdrawn,Withdrawn,,,Withdrawn,No response ,Withdrawn,,,,
153,Fruitful Solutions,02-Sep-25,Startup,Full Incubation,AgriTech,Egypt,Seed,,,Active,,,MOCI,In Progress,,,Pending,,Pending,,,,Pending,NA,15 ,0,2,0,3,,,,,,"Fruitful Solutions is a AgriTech Company – They develop AI-powered IoT and machine vision solutions that automate quality inspection and grading for fresh food producers, improving efficiency, consistency, and safety while reducing waste. Their flagship product, FreshSort, uses real-time environmental data and advanced imaging to deliver faster, more accurate, and cost-effective inspections than traditional methods.​",,,Kareem Elzeftawy,karemelzftawy@gmail.com,,Completed,Completed,QFC,Completed,Completed,30-Apr-26,29-Apr-27,Completed,Incubation agreement,Completed,Completed,Completed,Completed,Completed
154,Innotech Technology (Garagat),02-Sep-25,Startup,Full Incubation,e-Commerce,Qatar,Pending ,,,Active,,,MOCI,Completed,,Completed,06-Nov-25,,13-Jan-2026,In Progress,,,Tech 2 Unit 210-100,NA,,,,,,,,,,,"Garagat is a Qatar-based mobile marketplace app that connects car owners with trusted automotive service providers for maintenance, spare parts, and towing. It features an AI-powered recommendation engine that matches users with garages based on their car brand to enhance service compatibility. The app aims to address market fragmentation, lack of transparency, and brand-specific expertise in Qatar’s automotive service industry. Garagat is in the final stages of development and plans to launch soon, with a subscription-based revenue model targeting both users and service providers.",,,Omerelfaroug Abuelfatuh,omer.futuh@gmail.com,,Completed,Completed,MOCI,Completed,In Progress,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
155,Grovia Hub,02-Sep-25,Startup,Full Incubation,Enterprise SaaS,Turkey,Pending ,,,Active,,,QFC,In Progress,,,12-Jan-26,,"12 Jan, 26",,,,Tech2 Unit 210-92,NA,6,0,2,0,0,,,,,,"A SaaS platform that leverages AI to provide real-time KPI tracking, risk scoring, and predictive analytics for startups and investors. The founding team brings deep expertise in financial modeling, AI, and SaaS development. ",,,Ercan Arslan,ercan.arslan@groviahub.com,,Completed,Completed,QFC,Completed,Completed,,,Completed,Completed,Completed,Completed,Completed,Completed,Completed
